func;28;11;2;17484;17484
func;28;12;2;16194;16194
func;28;13;2;14139;14139
func;28;14;2;14743;14743
func;28;15;2;15619;15619
func;28;16;2;15254;15254
func;28;17;2;12681;12681
func;28;18;2;12522;12522
func;28;19;2;17047;17047
func;28;20;2;16447;16447
func;28;21;2;15034;15034
func;28;22;2;16317;16317
func;28;23;2;14310;14310
func;28;24;2;14072;14072
func;28;25;2;17740;17740
func;28;26;2;13137;13137
func;28;27;2;15865;15865
func;28;28;2;15188;15188
func;28;29;2;15297;15297
func;28;30;2;15219;15219
func;28;31;2;16820;16820
func;28;32;2;16327;16327
func;30;1;2;53778;53778
func;30;2;2;64117;64117
func;30;3;2;186647;186647
func;30;4;2;54655;54655
func;30;5;2;55175;55175
func;30;6;2;60719;60719
func;30;7;2;59104;59104
func;30;8;2;58681;58681
func;30;9;2;55294;55294
func;30;10;2;59404;59404
func;30;11;2;59179;59179
func;30;12;2;58181;58181
func;30;13;2;62091;62091
func;30;14;2;60179;60179
func;30;15;2;64361;64361
func;30;16;2;47630;47630
func;30;17;2;58760;58760
func;30;18;2;47280;47280
func;30;19;2;54384;54384
func;30;20;2;52320;52320
func;30;21;2;55626;55626
func;30;22;2;59218;59218
func;30;23;2;51726;51726
func;30;24;2;52632;52632
func;30;25;2;49058;49058
func;30;26;2;55000;55000
func;30;27;2;47208;47208
func;30;28;2;53711;53711
func;30;29;2;54344;54344
func;30;30;2;48165;48165
func;30;31;2;46878;46878
func;30;32;2;61797;61797
func;34;1;1702;14569129;14569129
func;34;2;1702;16113459;16113459
func;34;3;1702;3366256;3366256
func;34;4;1702;3092843;3092843
func;34;5;1702;4879389;4879389
func;34;6;1702;3356861;3356861
func;34;7;1702;3223536;3223536
func;34;8;1702;3098824;3098824
func;34;9;1702;4078507;4078507
func;34;10;1702;3120117;3120117
func;34;11;1702;3943601;3943601
func;34;12;1702;3105908;3105908
func;34;13;1702;3087787;3087787
func;34;14;1702;3118553;3118553
func;34;15;1702;3097342;3097342
func;34;16;1702;2996300;2996300
func;34;17;1702;3023758;3023758
func;34;18;1702;2982432;2982432
func;34;19;1702;3267155;3267155
func;34;20;1702;3159571;3159571
func;34;21;1702;3091384;3091384
func;34;22;1702;3269201;3269201
func;34;23;1702;3096649;3096649
func;34;24;1702;2912887;2912887
func;34;25;1702;3086581;3086581
func;34;26;1702;4582931;4582931
func;34;27;1702;3126294;3126294
func;34;28;1702;3022245;3022245
func;34;29;1702;3113177;3113177
